base_coin,period,volatility,timestamp
BTC,30,0.48595579,2025-01-20 05:00:00
BTC,30,0.48596568,2025-01-20 06:00:00
BTC,30,0.51573975,2025-01-20 07:00:00
BTC,30,0.51568057,2025-01-20 08:00:00
BTC,30,0.51712993,2025-01-20 09:00:00
BTC,30,0.51692402,2025-01-20 10:00:00
BTC,30,0.51694496,2025-01-20 11:00:00
BTC,30,0.51543784,2025-01-20 12:00:00
BTC,30,0.51718228,2025-01-20 13:00:00
BTC,30,0.51813397,2025-01-20 14:00:00
BTC,30,0.51790982,2025-01-20 15:00:00
BTC,30,0.52655371,2025-01-20 16:00:00
BTC,30,0.52951081,2025-01-20 17:00:00
BTC,30,0.5432182,2025-01-20 18:00:00
BTC,30,0.54421138,2025-01-20 19:00:00
BTC,30,0.54424876,2025-01-20 20:00:00
BTC,30,0.5438507,2025-01-20 21:00:00
BTC,30,0.54501823,2025-01-20 22:00:00
BTC,30,0.54602193,2025-01-20 23:00:00
